video_id,video_duration_seconds
Wo-7nWvPoSM,34.0
IzgEX20muTk,39.0
S_kAK-c_Htg,873.0
KFUN7szd5D0,30.0
0axOqBIJMLw,1288.0
Ym7eurKoWXY,725.0
voqQcVfU3mc,105.0
VHEKR_7gDdE,278.0
yMWLSNcvLpg,65.0
ITmhrC20chQ,637.0
0CajxohkTdk,389.0
NIUuwOu9NWo,225.0
CZSZKXlx9xU,1159.0
Vg4Q2_wXJl8,2208.0
jEYkoBLivHA,1191.0
aZGEUce0beo,1977.0
iuDpZN2D1ec,1288.0
xS2ptfSSHpg,228.0
